Date,Index U.S. Equity,Index U.S. Large Cap Equity,Index Bond,Social Choice,Index International Equity,Passive Diversified Fixed Income,Passive Conservative,Passive Moderate Growth,Passive Growth,Passive Diversified Equity,Active International Equity,Active Diversified Fixed Income,Active Conservative,Active Moderate Growth,Active Growth,Active Diversified Equity,Principal Plus Interest
2025-06-16,58.27,-,12.47,-,24.29,-,12.82,-,31.41,43.58,25.39,-,13.75,-,33.13,44.46,12.44
2025-06-13,57.70,-,12.49,-,24.15,-,12.83,-,31.25,43.23,25.26,-,13.76,-,32.97,44.13,12.43
2025-06-12,58.39,-,12.54,-,24.50,-,12.85,-,31.55,43.78,25.57,-,13.78,-,33.29,44.70,12.43
2025-06-11,58.21,-,12.49,-,24.35,-,12.83,-,31.43,43.59,25.39,-,13.76,-,33.16,44.52,12.43
2025-06-10,58.38,-,12.45,-,24.35,-,12.81,-,31.45,43.69,25.38,-,13.74,-,33.17,44.59,12.43
2025-06-09,58.07,-,12.43,-,24.31,-,12.80,-,31.35,43.50,25.32,-,13.73,-,33.07,44.42,12.43
2025-06-06,58.02,-,12.40,-,24.25,-,12.79,-,31.30,43.44,25.25,-,13.71,-,33.02,44.36,12.43
2025-06-05,57.41,-,12.48,-,24.16,-,12.82,-,31.17,43.09,25.18,-,13.74,-,32.89,44.02,12.43
2025-06-04,57.67,-,12.50,-,24.15,-,12.83,-,31.24,43.21,25.16,-,13.75,-,32.95,44.08,12.43
2025-06-03,57.66,-,12.42,-,24.01,-,12.79,-,31.15,43.12,25.05,-,13.72,-,32.85,44.00,12.42
2025-06-02,57.27,-,12.42,-,24.15,-,12.80,-,31.10,43.02,25.18,-,13.72,-,32.82,43.94,12.42
2025-05-30,57.05,-,12.46,-,23.91,-,12.81,-,31.00,42.78,24.93,-,13.74,-,32.72,43.70,12.42
2025-05-29,57.05,-,12.43,-,23.91,-,12.80,-,30.98,42.78,24.92,-,13.72,-,32.69,43.69,12.42
2025-05-28,56.84,-,12.39,-,23.79,-,12.78,-,30.86,42.59,24.79,-,13.70,-,32.55,43.48,12.42
2025-05-27,57.19,-,12.41,-,24.05,-,12.79,-,31.03,42.90,25.02,-,13.71,-,32.70,43.74,12.42
2025-05-23,56.03,-,12.35,-,23.83,-,12.76,-,30.63,42.18,24.79,-,13.68,-,32.29,43.01,12.41
2025-05-22,56.39,-,12.33,-,23.77,-,12.75,-,30.69,42.32,24.72,-,13.66,-,32.32,43.11,12.41
2025-05-21,56.39,-,12.30,-,23.76,-,12.74,-,30.67,42.32,24.72,-,13.65,-,32.31,43.14,12.41
2025-05-20,57.38,-,12.38,-,23.90,-,12.77,-,31.03,42.95,24.83,-,13.69,-,32.70,43.76,12.41
2025-05-19,57.59,-,12.40,-,23.82,-,12.78,-,31.08,43.01,24.74,-,13.70,-,32.74,43.82,12.41
2025-05-16,57.55,-,12.40,-,23.66,-,12.78,-,31.02,42.90,24.57,-,13.70,-,32.68,43.70,12.41
2025-05-15,57.12,-,12.40,-,23.62,-,12.77,-,30.89,42.64,24.53,-,13.69,-,32.53,43.42,12.41
2025-05-14,56.90,-,12.33,-,23.40,-,12.74,-,30.72,42.37,24.31,-,13.66,-,32.37,43.21,12.40
2025-05-13,56.87,-,12.37,-,23.48,-,12.76,-,30.76,42.43,24.39,-,13.67,-,32.43,43.28,12.40
2025-05-12,56.47,-,12.38,-,23.43,-,12.76,-,30.67,42.25,24.32,-,13.67,-,32.37,43.16,12.40
2025-05-09,54.67,-,12.43,-,23.22,-,12.78,-,30.21,41.28,24.12,-,13.70,-,31.92,42.20,12.40
2025-05-08,54.70,-,12.42,-,23.08,-,12.77,-,30.15,41.19,23.96,-,13.69,-,31.86,42.13,12.40
2025-05-07,54.30,-,12.48,-,23.17,-,12.80,-,30.13,41.07,24.05,-,13.72,-,31.85,42.00,12.40
2025-05-06,54.08,-,12.45,-,23.23,-,12.79,-,30.08,41.00,24.09,-,13.71,-,31.77,41.89,12.40
2025-05-05,54.51,-,12.43,-,23.25,-,12.78,-,30.18,41.23,24.09,-,13.69,-,31.85,42.09,12.40
2025-05-02,54.84,-,12.45,-,23.24,-,12.78,-,30.27,41.38,24.07,-,13.69,-,31.93,42.22,12.39
2025-05-01,53.98,-,12.50,-,22.80,-,12.80,-,29.95,40.71,23.68,-,13.72,-,31.65,41.60,12.39
2025-04-30,53.66,-,12.56,-,22.89,-,12.82,-,29.93,40.60,23.77,-,13.74,-,31.64,41.51,12.39
2025-04-29,53.61,-,12.55,-,22.83,-,12.82,-,29.89,40.53,23.73,-,13.74,-,31.62,41.47,12.39
2025-04-28,53.30,-,12.53,-,22.80,-,12.81,-,29.78,40.36,23.70,-,13.73,-,31.51,41.29,12.39
2025-04-25,53.23,-,12.49,-,22.64,-,12.79,-,29.69,40.22,23.53,-,13.71,-,31.41,41.16,12.39
2025-04-24,52.89,-,12.44,-,22.61,-,12.77,-,29.57,40.04,23.53,-,13.69,-,31.31,41.02,12.38
2025-04-23,51.81,-,12.38,-,22.29,-,12.75,-,29.18,39.35,23.22,-,13.66,-,30.93,40.39,12.38
2025-04-22,50.97,-,12.35,-,22.16,-,12.73,-,28.92,38.88,23.13,-,13.63,-,30.67,39.92,12.38
2025-04-21,49.70,-,12.34,-,21.85,-,12.72,-,28.49,38.06,22.82,-,13.62,-,30.22,39.09,12.38
2025-04-17,50.90,-,12.39,-,21.85,-,12.74,-,28.84,38.68,22.82,-,13.64,-,30.57,39.70,12.38
2025-04-16,50.77,-,12.43,-,21.62,-,12.75,-,28.73,38.45,22.60,-,13.65,-,30.49,39.53,12.38
2025-04-15,51.87,-,12.39,-,21.74,-,12.73,-,29.00,39.03,22.67,-,13.63,-,30.72,40.04,12.38
2025-04-14,51.94,-,12.36,-,21.59,-,12.72,-,28.96,38.97,22.52,-,13.62,-,30.68,39.98,12.37
2025-04-11,51.51,-,12.28,-,21.34,-,12.68,-,28.71,38.58,22.25,-,13.56,-,30.40,39.58,12.37
2025-04-10,50.62,-,12.32,-,20.83,-,12.69,-,28.35,37.85,21.69,-,13.58,-,30.04,38.83,12.37
2025-04-09,52.47,-,12.38,-,21.07,-,12.72,-,28.93,38.91,21.90,-,13.63,-,30.65,39.89,12.37
2025-04-08,47.91,-,12.39,-,19.85,-,12.73,-,27.43,35.95,20.72,-,13.63,-,29.17,37.01,12.37
2025-04-07,48.71,-,12.46,-,19.97,-,12.75,-,27.72,36.45,20.85,-,13.65,-,29.47,37.51,12.37
2025-04-04,48.87,-,12.61,-,20.46,-,12.81,-,28.02,36.87,21.39,-,13.73,-,29.82,37.95,12.36
2025-04-03,51.92,-,12.59,-,21.78,-,12.81,-,29.19,39.16,22.71,-,13.74,-,31.02,40.27,12.36
2025-04-02,54.67,-,12.53,-,22.25,-,12.79,-,29.99,40.80,23.17,-,13.71,-,31.84,41.95,12.36
2025-04-01,54.24,-,12.54,-,22.20,-,12.79,-,29.87,40.55,23.10,-,13.72,-,31.72,41.69,12.36
2025-03-31,54.02,-,12.50,-,22.14,-,12.77,-,29.78,40.42,23.03,-,13.70,-,31.64,41.58,12.36
2025-03-28,53.77,-,12.47,-,22.34,-,12.76,-,29.75,40.39,23.21,-,13.69,-,31.60,41.55,12.36
2025-03-27,54.87,-,12.40,-,22.57,-,12.73,-,30.03,41.03,23.45,-,13.66,-,31.89,42.20,12.36
2025-03-26,55.09,-,12.42,-,22.49,-,12.74,-,30.07,41.10,23.40,-,13.66,-,31.93,42.27,12.36
2025-03-25,55.72,-,12.44,-,22.74,-,12.75,-,30.30,41.52,23.61,-,13.67,-,32.13,42.64,12.35
2025-03-24,55.67,-,12.43,-,22.66,-,12.74,-,30.27,41.48,23.53,-,13.66,-,32.10,42.61,12.35
2025-03-21,54.63,-,12.48,-,22.67,-,12.76,-,30.03,40.96,23.51,-,13.68,-,31.88,42.11,12.35
2025-03-20,54.62,-,12.50,-,22.80,-,12.76,-,30.10,41.06,23.64,-,13.69,-,31.96,42.23,12.35
2025-03-19,54.74,-,12.48,-,22.98,-,12.75,-,30.17,41.21,23.80,-,13.68,-,32.02,42.39,12.35
2025-03-18,54.12,-,12.44,-,22.93,-,12.73,-,29.98,40.90,23.74,-,13.66,-,31.82,42.04,12.35
2025-03-17,54.71,-,12.43,-,22.92,-,12.73,-,30.11,41.18,23.72,-,13.65,-,31.93,42.28,12.35
2025-03-14,54.29,-,12.42,-,22.64,-,12.72,-,29.90,40.78,23.45,-,13.65,-,31.72,41.87,12.34
2025-03-13,53.11,-,12.44,-,22.25,-,12.73,-,29.49,39.95,23.05,-,13.66,-,31.30,41.03,12.34
2025-03-12,53.89,-,12.41,-,22.40,-,12.72,-,29.74,40.45,23.21,-,13.65,-,31.54,41.52,12.34
2025-03-11,53.64,-,12.44,-,22.26,-,12.73,-,29.66,40.27,23.07,-,13.66,-,31.47,41.36,12.34
2025-03-10,53.97,-,12.49,-,22.27,-,12.75,-,29.78,40.47,23.12,-,13.68,-,31.60,41.54,12.34
2025-03-07,55.50,-,12.43,-,22.83,-,12.72,-,30.29,41.52,23.61,-,13.65,-,32.06,42.52,12.34
2025-03-06,55.21,-,12.44,-,22.62,-,12.73,-,30.15,41.25,23.40,-,13.66,-,31.94,42.26,12.34
